No., Date&Time, ms,,CH1 in the mold ,CH2 in the die ring
NO.,Time,ms,DELTA T,degC,degC
1,24/04/2024 01:50,0,0,176.8,176.9
2,24/04/2024 01:55,0,5,176.9,177
3,24/04/2024 02:00,0,10,177,177.15
4,24/04/2024 02:05,0,15,177.15,177.25
5,24/04/2024 02:10,0,20,178.75,178.3
6,24/04/2024 02:15,0,25,178.65,178.2
7,24/04/2024 02:20,0,30,178.55,178.2
8,24/04/2024 02:25,0,35,178.4,178.1
9,24/04/2024 02:30,0,40,178.4,178.05
10,24/04/2024 02:35,0,45,178.25,178
11,24/04/2024 02:40,0,50,202,197.05
12,24/04/2024 02:45,0,55,218.7,209.95
13,24/04/2024 02:50,0,60,233.35,221.7
14,24/04/2024 02:55,0,65,246.55,232.85
15,24/04/2024 03:00,0,70,259.3,243.85
16,24/04/2024 03:05,0,75,271.4,255.05
17,24/04/2024 03:10,0,80,283.05,265.7
18,24/04/2024 03:15,0,85,295.05,276.55
19,24/04/2024 03:20,0,90,299,282.45
20,24/04/2024 03:25,0,95,304.2,289.05
21,24/04/2024 03:30,0,100,309.6,295.5
22,24/04/2024 03:35,0,105,314.85,302.2
23,24/04/2024 03:40,0,110,320.2,308.6
24,24/04/2024 03:45,0,115,325.05,314.45
25,24/04/2024 03:50,0,120,329.95,320.05
26,24/04/2024 03:55,0,125,334.65,325.5
27,24/04/2024 04:00,0,130,339.1,330.7
28,24/04/2024 04:05,0,135,343.05,335.25
29,24/04/2024 04:10,0,140,346.45,339.6
30,24/04/2024 04:15,0,145,350.2,343.7
31,24/04/2024 04:20,0,150,353.65,347.75
32,24/04/2024 04:25,0,155,357.1,351.8
33,24/04/2024 04:30,0,160,359.65,356.05
34,24/04/2024 04:35,0,165,362.5,361.5
35,24/04/2024 04:40,0,170,365.1,365.95
36,24/04/2024 04:45,0,175,367.45,370.15
37,24/04/2024 04:50,0,180,369.8,372.6
38,24/04/2024 04:55,0,185,371.8,374.5
39,24/04/2024 05:00,0,190,374.1,376.55
40,24/04/2024 05:05,0,195,375.85,378.25
41,24/04/2024 05:10,0,200,377.5,379.7
42,24/04/2024 05:15,0,205,379.15,381.15
43,24/04/2024 05:20,0,210,380.65,382.5
44,24/04/2024 05:25,0,215,381.95,383.65
45,24/04/2024 05:30,0,220,383.25,384.8
46,24/04/2024 05:35,0,225,384.35,385.75
47,24/04/2024 05:40,0,230,385.4,386.75
48,24/04/2024 05:45,0,235,386.5,387.75
49,24/04/2024 05:50,0,240,387.5,388.55
50,24/04/2024 05:55,0,245,388.4,389.4
51,24/04/2024 06:00,0,250,389.25,390.15
52,24/04/2024 06:05,0,255,389.8,390.65
53,24/04/2024 06:10,0,260,390.7,391.55
54,24/04/2024 06:15,0,265,391.3,392
55,24/04/2024 06:20,0,270,391.75,392.4
56,24/04/2024 06:25,0,275,392.35,393
57,24/04/2024 06:30,0,280,392.8,393.35
58,24/04/2024 06:35,0,285,393.35,393.95
59,24/04/2024 06:40,0,290,407.7,410.4
60,24/04/2024 06:45,0,295,419.05,422.35
61,24/04/2024 06:50,0,300,429.1,433.25
62,24/04/2024 06:55,0,305,438.95,443.5
63,24/04/2024 07:00,0,310,443.85,449.15
64,24/04/2024 07:05,0,315,447.25,452.3
65,24/04/2024 07:10,0,320,450.85,455.95
66,24/04/2024 07:15,0,325,454.5,459.75
67,24/04/2024 07:20,0,330,457.95,463.25
68,24/04/2024 07:25,0,335,461.05,464.5
69,24/04/2024 07:30,0,340,463.9,466.7
70,24/04/2024 07:35,0,345,466.85,469.3
71,24/04/2024 07:40,0,350,469.5,471.75
72,24/04/2024 07:45,0,355,471.65,473.8
73,24/04/2024 07:50,0,360,473.8,475.85
74,24/04/2024 07:55,0,365,476.1,478.1
75,24/04/2024 08:00,0,370,478.2,479.9
76,24/04/2024 08:05,0,375,479.9,481.6
77,24/04/2024 08:10,0,380,481.75,483.2
78,24/04/2024 08:15,0,385,483.1,484.5
79,24/04/2024 08:20,0,390,484.65,485.9
80,24/04/2024 08:25,0,395,485.75,486.95
81,24/04/2024 08:30,0,400,487.15,488.2
82,24/04/2024 08:35,0,405,488.3,489.25
83,24/04/2024 08:40,0,410,489.15,490
84,24/04/2024 08:45,0,415,490,490.8
85,24/04/2024 08:50,0,420,490.95,491.6
86,24/04/2024 08:55,0,425,491.8,492.3
87,24/04/2024 09:00,0,430,492.5,493
88,24/04/2024 09:05,0,435,493.15,493.65
89,24/04/2024 09:10,0,440,493.8,494.3
90,24/04/2024 09:15,0,445,494.4,494.75
91,24/04/2024 09:20,0,450,494.9,495.2
92,24/04/2024 09:25,0,455,495.35,495.6
93,24/04/2024 09:30,0,460,495.7,495.95
94,24/04/2024 09:35,0,465,496.2,496.3
95,24/04/2024 09:40,0,470,496.55,496.65
96,24/04/2024 09:45,0,475,496.9,496.95
97,24/04/2024 09:50,0,480,497.25,497.2
98,24/04/2024 09:55,0,485,497.45,497.5
99,24/04/2024 10:00,0,490,497.8,497.75
100,24/04/2024 10:05,0,495,498,497.95
101,24/04/2024 10:10,0,500,498.15,498.05
102,24/04/2024 10:15,0,505,498.4,498.25
103,24/04/2024 10:20,0,510,498.6,498.45
104,24/04/2024 10:25,0,515,498.65,498.55
105,24/04/2024 10:30,0,520,498.8,498.6
106,24/04/2024 10:35,0,525,498.95,498.75
107,24/04/2024 10:40,0,530,499.05,498.8
108,24/04/2024 10:45,0,535,499.1,498.85
109,24/04/2024 10:50,0,540,499.2,498.95
110,24/04/2024 10:55,0,545,499.3,499.05
111,24/04/2024 11:00,0,550,499.4,499.1
112,24/04/2024 11:05,0,555,499.45,499.1
113,24/04/2024 11:10,0,560,499.6,499.3
114,24/04/2024 11:15,0,565,499.6,499.25
115,24/04/2024 11:20,0,570,499.7,499.4
116,24/04/2024 11:25,0,575,499.75,499.45
117,24/04/2024 11:30,0,580,499.7,499.4
118,24/04/2024 11:35,0,585,499.8,499.45
119,24/04/2024 11:40,0,590,499.8,499.45
120,24/04/2024 11:45,0,595,499.8,499.45
